Expression	Value	Location	Type	
[102]	'0' (0x30)	0x2000'018a	uint8_t	
[103]	'0' (0x30)	0x2000'018b	uint8_t	
[104]	',' (0x2C)	0x2000'018c	uint8_t	
[105]	'6' (0x36)	0x2000'018d	uint8_t	
[106]	'.' (0x2E)	0x2000'018e	uint8_t	
[107]	'2' (0x32)	0x2000'018f	uint8_t	
[108]	'7' (0x37)	0x2000'0190	uint8_t	
[109]	'7' (0x37)	0x2000'0191	uint8_t	
[110]	'2' (0x32)	0x2000'0192	uint8_t	
[111]	'\n' (0x0A)	0x2000'0193	uint8_t	
[112]	'2' (0x32)	0x2000'0194	uint8_t	
[113]	'0' (0x30)	0x2000'0195	uint8_t	
[114]	'.' (0x2E)	0x2000'0196	uint8_t	
[115]	'0' (0x30)	0x2000'0197	uint8_t	
[116]	'0' (0x30)	0x2000'0198	uint8_t	
[117]	',' (0x2C)	0x2000'0199	uint8_t	
[118]	'0' (0x30)	0x2000'019a	uint8_t	
[119]	'.' (0x2E)	0x2000'019b	uint8_t	
[120]	'0' (0x30)	0x2000'019c	uint8_t	
[121]	'0' (0x30)	0x2000'019d	uint8_t	
[122]	',' (0x2C)	0x2000'019e	uint8_t	
[123]	'6' (0x36)	0x2000'019f	uint8_t	
[124]	'.' (0x2E)	0x2000'01a0	uint8_t	
[125]	'2' (0x32)	0x2000'01a1	uint8_t	
[126]	'7' (0x37)	0x2000'01a2	uint8_t	
[127]	'7' (0x37)	0x2000'01a3	uint8_t	
[128]	'2' (0x32)	0x2000'01a4	uint8_t	
[129]	'\n' (0x0A)	0x2000'01a5	uint8_t	
[130]	'2' (0x32)	0x2000'01a6	uint8_t	
[131]	'0' (0x30)	0x2000'01a7	uint8_t	
[132]	'.' (0x2E)	0x2000'01a8	uint8_t	
[133]	'0' (0x30)	0x2000'01a9	uint8_t	
[134]	'0' (0x30)	0x2000'01aa	uint8_t	
[135]	',' (0x2C)	0x2000'01ab	uint8_t	
[136]	'0' (0x30)	0x2000'01ac	uint8_t	
[137]	'.' (0x2E)	0x2000'01ad	uint8_t	
[138]	'0' (0x30)	0x2000'01ae	uint8_t	
[139]	'0' (0x30)	0x2000'01af	uint8_t	
[140]	',' (0x2C)	0x2000'01b0	uint8_t	
[141]	'6' (0x36)	0x2000'01b1	uint8_t	
[142]	'.' (0x2E)	0x2000'01b2	uint8_t	
[143]	'2' (0x32)	0x2000'01b3	uint8_t	
[144]	'7' (0x37)	0x2000'01b4	uint8_t	
[145]	'7' (0x37)	0x2000'01b5	uint8_t	
